Designator,Mid X,Mid Y,Rotation,Layer
C1,208.584,-102.448,270.0,top
C10,234.492,-84.922,180.0,top
C11,222.808,-71.714,0.0,top
C12,220.776,-81.366,270.0,top
C13,231.19,-84.922,0.0,top
C14,236.016,-77.048,270.0,top
C15,234.492,-77.048,270.0,top
C16,238.556,-78.572,0.0,top
C17,237.794,-84.922,180.0,top
C2,194.881,-74.762,0.0,top
C3,194.881,-76.54,0.0,top
C4,194.881,-78.318,0.0,top
C5,200.215,-72.222,0.0,top
C6,200.215,-74.0,0.0,top
C7,204.266,-70.19,270.0,top
C8,206.298,-70.19,270.0,top
C9,238.556,-72.476,0.0,top
D1,195.63,-85.938,0.0,top
D2,204.279,-74.762,270.0,top
D3,218.236,-74.0,270.0,top
D4,218.49,-86.7,0.0,top
FB1,194.881,-72.984,0.0,top
J1,213.664,-61.068,180.0,top
J111,101.5095,-31.956,180.0,bottom
J121,211.2095,-31.956,180.0,bottom
J2,52.374,-62.79,0.0,top
J3,74.754,-62.79,0.0,top
J4,97.078,-62.79,0.0,top
L1,238.556,-75.524,180.0,top
R1,204.012,-102.448,270.0,top
R10,202.742,-89.92,0.0,top
R11,142.544,-47.076,270.0,top
R12,122.224,-47.076,270.0,top
R13,96.824,-43.266,270.0,top
R14,73.71,-47.076,270.0,top
R15,252.526,-47.076,270.0,top
R16,231.952,-47.076,270.0,top
R17,206.552,-47.076,270.0,top
R18,183.692,-47.076,270.0,top
R19,227.634,-87.97,270.0,top
R2,192.582,-88.224,180.0,top
R20,225.856,-87.97,270.0,top
R21,226.364,-66.634,90.0,top
R22,228.142,-66.634,90.0,top
R3,193.344,-84.668,270.0,top
R4,203.517,-79.334,0.0,top
R5,202.501,-74.762,270.0,top
R6,218.236,-70.444,90.0,top
R7,213.664,-90.102,180.0,top
R8,216.712,-81.366,90.0,top
R9,214.934,-86.7,180.0,top
RN1,139.242,-37.424,180.0,top
RN10,233.73,-37.424,180.0,top
RN11,180.39,-38.948,180.0,top
RN12,175.31,-38.948,180.0,top
RN2,134.162,-37.424,180.0,top
RN3,129.082,-37.424,180.0,top
RN4,124.002,-37.424,180.0,top
RN5,68.122,-38.948,180.0,top
RN6,63.042,-38.948,180.0,top
RN7,248.97,-37.486,180.0,top
RN8,243.89,-37.424,180.0,top
RN9,238.81,-37.424,180.0,top
SW1,213.41,-93.812,0.0,top
SW2,202.488,-93.812,0.0,top
U1,227.888,-78.318,0.0,top
U10,200.964,-47.076,90.0,top
U11,178.104,-47.076,90.0,top
U2,198.945,-76.794,90.0,top
U3,212.14,-71.968,0.0,top
U4,136.956,-47.076,90.0,top
U5,116.636,-47.076,90.0,top
U6,91.236,-43.266,90.0,top
U7,68.122,-47.076,90.0,top
U8,246.938,-47.076,90.0,top
U9,226.364,-47.076,90.0,top
USB1,185.978,-87.208,270.0,top
X1,237.54,-81.62,180.0,top
